sample_name,sample_id,Cl-,NO2- -N,NO3- -N,PO43-,SO42-
anion std,1,0.000,0.000,0.000,0.000,0.000
anion std,2,0.198,0.000,0.078,0.000,0.078
anion std,3,0.396,0.000,0.156,0.000,0.156
anion std,4,0.780,0.313,0.306,0.000,0.295
anion std,5,1.613,0.625,0.609,0.000,0.608
anion std,6,6.302,2.513,2.505,2.500,2.509
anion std,7,25.297,10.005,9.998,10.000,10.020
anion std,1,0.000,0.000,0.000,0.000,0.000
anion std,2,0.154,0.000,0.038,0.000,0.098
anion std,3,0.408,0.164,0.159,0.000,0.275
anion std,4,0.808,0.424,0.330,0.000,0.284
anion std,5,1.540,0.662,0.573,0.000,0.528
anion std,6,6.692,2.661,2.558,2.854,2.665
anion std,7,25.727,10.300,10.073,10.208,9.980
2,NW,2.462,0.000,0.179,0.000,0.625
2,NW,2.916,0.000,0.117,0.000,0.349
2,NW,2.688,0.000,0.139,0.000,0.327
2,SE,1.942,0.000,0.165,0.000,0.788
2,SE,1.944,0.000,0.097,0.000,0.463
2,SE,1.886,0.000,0.122,0.000,0.830
2,SW,2.019,0.000,0.104,0.000,0.405
2,SW,1.908,0.000,0.054,0.000,0.180
2,SW,1.990,0.000,0.077,0.000,0.269
anion std,1,0.000,0.000,0.000,0.000,0.000
anion std,2,0.198,0.000,0.078,0.000,0.078
anion std,3,0.396,0.156,0.156,0.000,0.156
anion std,4,0.784,0.313,0.309,0.000,0.275
anion std,5,1.560,0.607,0.607,0.000,0.625
anion std,6,6.344,2.500,2.507,2.500,2.529
anion std,7,25.277,9.997,9.994,10.000,9.971
anion std,1,0.000,0.000,0.000,0.000,0.000
anion std,2,0.158,0.000,0.098,0.000,0.174
anion std,3,0.572,0.151,0.234,0.000,0.241
anion std,4,0.763,0.304,0.303,0.000,0.356
anion std,5,1.592,0.648,0.611,0.000,0.479
anion std,6,6.422,2.583,2.563,2.415,2.765
anion std,7,25.339,10.177,10.124,9.775,10.266
2,Dr,4.269,0.000,1.542,0.000,4.630
2,Dr,4.319,0.000,1.484,0.000,4.328
2,Dr,4.457,0.000,1.475,0.000,4.540
2,Dr,2.836,0.103,1.249,0.000,3.686
2,Dr,2.807,0.000,1.345,0.000,3.200
2,Dr,2.867,0.000,1.263,0.000,3.180
2,Dr,3.465,0.000,1.588,0.000,3.866
2,Dr,3.312,0.105,1.640,0.000,3.672
2,Dr,3.179,0.121,1.629,0.000,4.379
2,Dr,3.309,0.110,1.595,0.000,4.383
2,Dr,3.231,0.183,1.622,0.000,4.299
2,Dr,3.132,0.247,1.677,0.000,4.205
2,Dr,3.207,0.132,1.648,0.000,4.317
2,Dr,3.231,0.218,1.648,0.000,4.299
2,Dr,3.190,0.125,1.653,0.000,4.124
2,Dr,3.486,0.176,1.663,0.000,4.468
2,Dr,3.226,0.222,1.697,0.000,4.515
2,Dr,3.120,0.148,1.763,0.000,4.400
