sample_name,sample_id,Ca2+,K+,Mg2+,Na+,NH4N
Cation Standard,001,0.000,0.000,0.000,0.000,0.000
Cation Standard,002,0.156,0.000,0.000,0.128,0.078
Cation Standard,003,0.313,0.156,0.156,0.257,0.156
Cation Standard,004,0.608,0.313,0.313,0.488,0.318
Cation Standard,005,1.258,0.565,0.636,1.039,0.625
Cation Standard,006,5.031,2.532,2.498,4.138,2.495
Cation Standard,007,20.002,10.046,10.006,16.309,10.017
Cation Standard,008,0.000,0.000,0.000,-0.313,0.000
Cation Standard,009,0.020,0.000,0.000,0.168,0.113
Cation Standard,010,0.495,0.244,0.202,0.422,0.188
Cation Standard,011,0.604,0.366,0.300,0.646,0.338
Cation Standard,012,1.055,0.644,0.563,1.022,0.605
Cation Standard,013,4.732,2.521,2.608,4.700,2.418
Cation Standard,014,20.079,10.131,10.044,16.348,9.924
2-NW-1.1,10/11/18,0.918,1.182,0.000,2.480,0.150
2-NW-1.2,10/11/18,1.214,1.201,0.129,1.721,0.119
2-NW-1.3,10/11/18,1.038,1.469,0.000,1.645,0.168
2-SE-1.1,10/11/18,1.057,1.390,0.000,1.171,0.196
2-SE-1.2,10/11/18,0.859,0.876,0.301,1.399,0.210
2-SE-1.3,10/11/18,1.016,0.841,0.092,1.465,0.193
2-SW-1.1,10/11/18,0.704,1.212,0.056,2.270,0.127
2-SW-1.2,10/11/18,0.761,1.243,0.000,1.778,0.173
2-SW-1.3,10/11/18,0.924,1.060,0.000,1.624,0.169
Cation Standard,008,0.000,0.000,0.000,0.000,0.000
Cation Standard,009,0.156,0.000,0.000,0.128,0.078
Cation Standard,010,0.313,0.156,0.156,0.257,0.156
Cation Standard,011,0.571,0.313,0.313,0.497,0.312
Cation Standard,012,1.201,0.632,0.629,0.988,0.619
Cation Standard,013,5.019,2.506,2.515,4.121,2.504
Cation Standard,014,20.061,10.010,9.985,16.302,10.013
Cation Standard,015,0.000,0.000,0.000,-0.257,0.000
Cation Standard,016,0.248,0.075,0.000,0.043,0.000
Cation Standard,017,0.506,0.090,0.107,0.538,0.163
Cation Standard,018,0.576,0.245,0.297,0.686,0.285
Cation Standard,019,0.984,0.711,0.528,1.254,0.620
Cation Standard,020,4.994,2.618,2.495,4.717,2.442
Cation Standard,021,20.152,9.861,9.987,16.297,10.022
2-Dr-1.1,10/11/18,10.155,2.571,0.575,3.632,0.067
2-Dr-1.2,10/11/18,10.159,2.670,0.616,3.856,0.114
2-Dr-1.3,10/11/18,9.615,2.701,0.702,3.635,0.100
2-Dr-2.1,10/11/18,10.073,2.594,0.592,2.755,0.000
2-Dr-2.2,10/11/18,9.422,2.622,0.511,2.885,0.000
2-Dr-2.3,10/11/18,9.341,2.709,0.481,3.473,0.000
2-Dr-3.1,10/11/18,12.754,2.802,0.650,3.734,0.000
2-Dr-3.2,10/11/18,12.565,2.684,0.856,3.172,0.000
2-Dr-3.3,10/11/18,12.612,2.935,0.626,3.536,0.000
2-Dr-4.1,10/11/18,13.407,2.983,0.877,3.621,0.000
2-Dr-4.2,10/11/18,13.366,2.715,0.720,3.899,0.000
2-Dr-4.3,10/11/18,13.034,2.934,0.776,3.365,0.000
2-Dr-5.1,10/11/18,13.992,3.008,0.780,3.507,0.000
2-Dr-5.2,10/11/18,14.116,3.043,0.835,3.509,0.000
2-Dr-5.3,10/11/18,13.742,2.834,1.032,3.165,0.000
2-Dr-6.1,10/11/18,14.306,3.079,0.963,3.509,0.000
2-Dr-6.2,10/11/18,14.559,3.051,0.894,3.333,0.000
2-Dr-6.3,10/11/18,14.225,2.989,0.859,4.010,0.000
